Contest,Candidate Issue,Party,Precinct Name,Mail Votes,Election Day Votes,Total Votes,% of Total Votes
President and Vice President,Donald J. Trump and Michael R. Pence,REP,PCT 1,-,-,1330,84.66
President and Vice President,Donald J. Trump and Michael R. Pence,REP,PCT 2,-,-,859,85.73
President and Vice President,Donald J. Trump and Michael R. Pence,REP,PCT 3,-,-,479,82.44
President and Vice President,Donald J. Trump and Michael R. Pence,REP,PCT 4,-,-,2130,84.09
President and Vice President,Donald J. Trump and Michael R. Pence,REP,PCT 5,387,1899,2286,86.62
President and Vice President,Donald J. Trump and Michael R. Pence,REP,PCT 6,-,-,2799,83.83
President and Vice President,Donald J. Trump and Michael R. Pence,REP,PCT 7,91,309,400,83.68
President and Vice President,Donald J. Trump and Michael R. Pence,REP,PCT 8,-,-,2167,75.11
President and Vice President,Donald J. Trump and Michael R. Pence,REP,PCT 9,-,-,2086,71.19
President and Vice President,Donald J. Trump and Michael R. Pence,REP,PCT 10,-,-,2867,73.38
President and Vice President,Donald J. Trump and Michael R. Pence,REP,PCT 11,-,-,3237,69.60
President and Vice President,Donald J. Trump and Michael R. Pence,REP,PCT 12,-,-,3035,73.24
President and Vice President,Donald J. Trump and Michael R. Pence,REP,PCT 13,-,-,1702,75.11
President and Vice President,Donald J. Trump and Michael R. Pence,REP,PCT 14,-,-,2556,72.49
President and Vice President,Donald J. Trump and Michael R. Pence,REP,PCT 15,-,-,2128,78.38
President and Vice President,Donald J. Trump and Michael R. Pence,REP,PCT 16,-,-,1144,83.56
President and Vice President,Donald J. Trump and Michael R. Pence,REP,PCT 17,-,-,2468,74.25
President and Vice President,Donald J. Trump and Michael R. Pence,REP,PCT 18,-,-,1565,77.67
President and Vice President,Donald J. Trump and Michael R. Pence,REP,PCT 19,-,-,954,62.27
President and Vice President,Donald J. Trump and Michael R. Pence,REP,PCT 20,-,-,1057,74.12
President and Vice President,Donald J. Trump and Michael R. Pence,REP,PCT 21,-,-,2737,76.39
President and Vice President,Donald J. Trump and Michael R. Pence,REP,PCT 22,-,-,2314,71.66
President and Vice President,Donald J. Trump and Michael R. Pence,REP,PCT 23,-,-,2534,67.74
President and Vice President,Donald J. Trump and Michael R. Pence,REP,PCT 24,-,-,885,68.08
President and Vice President,Donald J. Trump and Michael R. Pence,REP,PCT 25,-,-,1328,72.53
President and Vice President,Donald J. Trump and Michael R. Pence,REP,PCT 26,460,1123,1583,73.12
President and Vice President,Donald J. Trump and Michael R. Pence,REP,PCT 27,-,-,1754,70.33
President and Vice President,Donald J. Trump and Michael R. Pence,REP,PCT 28,-,-,975,62.38
President and Vice President,Donald J. Trump and Michael R. Pence,REP,PCT 29,-,-,1188,57.14
President and Vice President,Donald J. Trump and Michael R. Pence,REP,PCT 30,-,-,538,56.63
President and Vice President,Donald J. Trump and Michael R. Pence,REP,PCT 31,-,-,1866,61.00
President and Vice President,Donald J. Trump and Michael R. Pence,REP,PCT 32,-,-,138,11.88
President and Vice President,Donald J. Trump and Michael R. Pence,REP,PCT 33,104,339,443,35.02
President and Vice President,Donald J. Trump and Michael R. Pence,REP,PCT 34,172,419,591,65.74
President and Vice President,Donald J. Trump and Michael R. Pence,REP,PCT 35,321,816,1137,65.38
President and Vice President,Donald J. Trump and Michael R. Pence,REP,PCT 36,-,-,376,57.85
President and Vice President,Donald J. Trump and Michael R. Pence,REP,PCT 37,-,-,1305,57.51
President and Vice President,Donald J. Trump and Michael R. Pence,REP,PCT 38,-,-,826,67.15
President and Vice President,Donald J. Trump and Michael R. Pence,REP,PCT 39,-,-,2000,70.40
President and Vice President,Donald J. Trump and Michael R. Pence,REP,PCT 40,-,-,925,61.46
President and Vice President,Donald J. Trump and Michael R. Pence,REP,PCT 41,-,-,1180,63.34
