Contest,Candidate Issue,Party,Precinct Name,Mail Votes,Election Day Votes,Total Votes,% of Total Votes
President and Vice President,Donald J. Trump and Michael R. Pence,REP,PCT 42,-,-,773,70.46
President and Vice President,Donald J. Trump and Michael R. Pence,REP,PCT 43,-,-,861,63.97
President and Vice President,Donald J. Trump and Michael R. Pence,REP,PCT 44,-,-,591,72.87
President and Vice President,Joseph R. Biden and Kamala D. Harris,DEM,PCT 1,-,-,220,14.00
President and Vice President,Joseph R. Biden and Kamala D. Harris,DEM,PCT 2,-,-,132,13.17
President and Vice President,Joseph R. Biden and Kamala D. Harris,DEM,PCT 3,43,47,90,15.49
President and Vice President,Joseph R. Biden and Kamala D. Harris,DEM,PCT 4,180,182,362,14.29
President and Vice President,Joseph R. Biden and Kamala D. Harris,DEM,PCT 5,144,180,324,12.28
President and Vice President,Joseph R. Biden and Kamala D. Harris,DEM,PCT 6,-,-,497,14.88
President and Vice President,Joseph R. Biden and Kamala D. Harris,DEM,PCT 7,36,39,75,15.69
President and Vice President,Joseph R. Biden and Kamala D. Harris,DEM,PCT 8,-,-,688,23.85
President and Vice President,Joseph R. Biden and Kamala D. Harris,DEM,PCT 9,-,-,796,27.17
President and Vice President,Joseph R. Biden and Kamala D. Harris,DEM,PCT 10,-,-,975,24.96
President and Vice President,Joseph R. Biden and Kamala D. Harris,DEM,PCT 11,-,-,1343,28.88
President and Vice President,Joseph R. Biden and Kamala D. Harris,DEM,PCT 12,-,-,1031,24.88
President and Vice President,Joseph R. Biden and Kamala D. Harris,DEM,PCT 13,-,-,526,23.21
President and Vice President,Joseph R. Biden and Kamala D. Harris,DEM,PCT 14,-,-,892,25.30
President and Vice President,Joseph R. Biden and Kamala D. Harris,DEM,PCT 15,-,-,549,20.22
President and Vice President,Joseph R. Biden and Kamala D. Harris,DEM,PCT 16,111,99,210,15.34
President and Vice President,Joseph R. Biden and Kamala D. Harris,DEM,PCT 17,-,-,774,23.29
President and Vice President,Joseph R. Biden and Kamala D. Harris,DEM,PCT 18,-,-,415,20.60
President and Vice President,Joseph R. Biden and Kamala D. Harris,DEM,PCT 19,243,299,542,35.38
President and Vice President,Joseph R. Biden and Kamala D. Harris,DEM,PCT 20,-,-,338,23.70
President and Vice President,Joseph R. Biden and Kamala D. Harris,DEM,PCT 21,-,-,784,21.88
President and Vice President,Joseph R. Biden and Kamala D. Harris,DEM,PCT 22,-,-,862,26.70
President and Vice President,Joseph R. Biden and Kamala D. Harris,DEM,PCT 23,-,-,1117,29.86
President and Vice President,Joseph R. Biden and Kamala D. Harris,DEM,PCT 24,-,-,384,29.54
President and Vice President,Joseph R. Biden and Kamala D. Harris,DEM,PCT 25,-,-,465,25.40
President and Vice President,Joseph R. Biden and Kamala D. Harris,DEM,PCT 26,-,-,522,24.11
President and Vice President,Joseph R. Biden and Kamala D. Harris,DEM,PCT 27,-,-,687,27.55
President and Vice President,Joseph R. Biden and Kamala D. Harris,DEM,PCT 28,-,-,548,35.06
President and Vice President,Joseph R. Biden and Kamala D. Harris,DEM,PCT 29,-,-,839,40.36
President and Vice President,Joseph R. Biden and Kamala D. Harris,DEM,PCT 30,-,-,388,40.84
President and Vice President,Joseph R. Biden and Kamala D. Harris,DEM,PCT 31,-,-,1128,36.87
President and Vice President,Joseph R. Biden and Kamala D. Harris,DEM,PCT 32,-,-,1010,86.92
President and Vice President,Joseph R. Biden and Kamala D. Harris,DEM,PCT 33,-,-,802,63.40
President and Vice President,Joseph R. Biden and Kamala D. Harris,DEM,PCT 34,-,-,290,32.26
President and Vice President,Joseph R. Biden and Kamala D. Harris,DEM,PCT 35,289,250,539,30.99
President and Vice President,Joseph R. Biden and Kamala D. Harris,DEM,PCT 36,-,-,260,40.00
President and Vice President,Joseph R. Biden and Kamala D. Harris,DEM,PCT 37,-,-,910,40.11
President and Vice President,Joseph R. Biden and Kamala D. Harris,DEM,PCT 38,-,-,383,31.14
President and Vice President,Joseph R. Biden and Kamala D. Harris,DEM,PCT 39,379,409,788,27.74
President and Vice President,Joseph R. Biden and Kamala D. Harris,DEM,PCT 40,-,-,537,35.68
President and Vice President,Joseph R. Biden and Kamala D. Harris,DEM,PCT 41,-,-,631,33.87
President and Vice President,Joseph R. Biden and Kamala D. Harris,DEM,PCT 42,-,-,298,27.16
President and Vice President,Joseph R. Biden and Kamala D. Harris,DEM,PCT 43,-,-,458,34.03
President and Vice President,Joseph R. Biden and Kamala D. Harris,DEM,PCT 44,-,-,205,25.28
President and Vice President,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LPF,PCT 1,-,-,11,0.70
President and Vice President,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LPF,PCT 2,-,-,4,0.40
President and Vice President,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LPF,PCT 3,-,-,10,1.72
President and Vice President,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LPF,PCT 4,-,-,23,0.91
President and Vice President,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LPF,PCT 5,-,-,16,0.61
President and Vice President,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LPF,PCT 6,-,-,26,0.78
President and Vice President,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LPF,PCT 7,-,-,2,0.42
President and Vice President,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LPF,PCT 8,-,-,15,0.52
President and Vice President,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LPF,PCT 9,-,-,26,0.89
President and Vice President,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LPF,PCT 10,-,-,35,0.90
President and Vice President,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LPF,PCT 11,-,-,41,0.88
President and Vice President,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LPF,PCT 12,-,-,43,1.04
President and Vice President,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LPF,PCT 13,-,-,21,0.93
President and Vice President,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LPF,PCT 14,-,-,53,1.50
President and Vice President,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LPF,PCT 15,-,-,16,0.59
President and Vice President,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LPF,PCT 16,-,-,10,0.73
President and Vice President,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LPF,PCT 17,-,-,56,1.68
President and Vice President,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LPF,PCT 18,-,-,19,0.94
President and Vice President,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LPF,PCT 19,-,-,21,1.37
President and Vice President,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LPF,PCT 20,-,-,16,1.12
President and Vice President,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LPF,PCT 21,-,-,35,0.98
President and Vice President,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LPF,PCT 22,-,-,37,1.15
President and Vice President,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LPF,PCT 23,-,-,41,1.10
President and Vice President,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LPF,PCT 24,-,-,22,1.69
President and Vice President,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LPF,PCT 25,-,-,16,0.87
President and Vice President,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LPF,PCT 26,-,-,32,1.48
President and Vice President,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LPF,PCT 27,-,-,31,1.24
President and Vice President,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LPF,PCT 28,-,-,24,1.54
President and Vice President,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LPF,PCT 29,-,-,31,1.49
President and Vice President,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LPF,PCT 30,-,-,18,1.89
President and Vice President,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LPF,PCT 31,-,-,32,1.05
President and Vice President,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LPF,PCT 32,-,-,4,0.34
President and Vice President,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LPF,PCT 33,-,-,5,0.40
President and Vice President,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LPF,PCT 34,-,-,10,1.11
President and Vice President,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LPF,PCT 35,-,-,41,2.36
President and Vice President,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LPF,PCT 36,-,-,3,0.46
President and Vice President,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LPF,PCT 37,-,-,22,0.97
President and Vice President,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LPF,PCT 38,-,-,14,1.14
President and Vice President,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LPF,PCT 39,-,-,32,1.13
President and Vice President,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LPF,PCT 40,-,-,23,1.53
President and Vice President,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LPF,PCT 41,-,-,28,1.50
President and Vice President,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LPF,PCT 42,-,-,18,1.64
President and Vice President,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LPF,PCT 43,-,-,12,0.89
President and Vice President,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LPF,PCT 44,-,-,9,1.11
President and Vice President,"Roque ""Rocky"" De La Fuente and Darcy G. Richardson",REF,PCT 1,0,0,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente and Darcy G. Richardson",REF,PCT 2,-,-,2,0.20
President and Vice President,"Roque ""Rocky"" De La Fuente and Darcy G. Richardson",REF,PCT 3,0,0,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente and Darcy G. Richardson",REF,PCT 4,-,-,1,0.04
President and Vice President,"Roque ""Rocky"" De La Fuente and Darcy G. Richardson",REF,PCT 5,0,0,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente and Darcy G. Richardson",REF,PCT 6,0,0,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente and Darcy G. Richardson",REF,PCT 7,0,0,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente and Darcy G. Richardson",REF,PCT 8,0,0,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente and Darcy G. Richardson",REF,PCT 9,-,-,2,0.07
President and Vice President,"Roque ""Rocky"" De La Fuente and Darcy G. Richardson",REF,PCT 10,-,-,1,0.03
President and Vice President,"Roque ""Rocky"" De La Fuente and Darcy G. Richardson",REF,PCT 11,0,0,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente and Darcy G. Richardson",REF,PCT 12,-,-,1,0.02
President and Vice President,"Roque ""Rocky"" De La Fuente and Darcy G. Richardson",REF,PCT 13,0,0,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente and Darcy G. Richardson",REF,PCT 14,-,-,2,0.06
President and Vice President,"Roque ""Rocky"" De La Fuente and Darcy G. Richardson",REF,PCT 15,0,0,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente and Darcy G. Richardson",REF,PCT 16,0,0,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente and Darcy G. Richardson",REF,PCT 17,-,-,2,0.06
President and Vice President,"Roque ""Rocky"" De La Fuente and Darcy G. Richardson",REF,PCT 18,-,-,2,0.10
President and Vice President,"Roque ""Rocky"" De La Fuente and Darcy G. Richardson",REF,PCT 19,-,-,1,0.07
President and Vice President,"Roque ""Rocky"" De La Fuente and Darcy G. Richardson",REF,PCT 20,-,-,3,0.21
President and Vice President,"Roque ""Rocky"" De La Fuente and Darcy G. Richardson",REF,PCT 21,-,-,2,0.06
President and Vice President,"Roque ""Rocky"" De La Fuente and Darcy G. Richardson",REF,PCT 22,-,-,2,0.06
President and Vice President,"Roque ""Rocky"" De La Fuente and Darcy G. Richardson",REF,PCT 23,-,-,7,0.19
President and Vice President,"Roque ""Rocky"" De La Fuente and Darcy G. Richardson",REF,PCT 24,0,0,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente and Darcy G. Richardson",REF,PCT 25,-,-,1,0.05
President and Vice President,"Roque ""Rocky"" De La Fuente and Darcy G. Richardson",REF,PCT 26,-,-,6,0.28
President and Vice President,"Roque ""Rocky"" De La Fuente and Darcy G. Richardson",REF,PCT 27,-,-,3,0.12
President and Vice President,"Roque ""Rocky"" De La Fuente and Darcy G. Richardson",REF,PCT 28,-,-,2,0.13
President and Vice President,"Roque ""Rocky"" De La Fuente and Darcy G. Richardson",REF,PCT 29,-,-,1,0.05
President and Vice President,"Roque ""Rocky"" De La Fuente and Darcy G. Richardson",REF,PCT 30,-,-,2,0.21
President and Vice President,"Roque ""Rocky"" De La Fuente and Darcy G. Richardson",REF,PCT 31,-,-,1,0.03
President and Vice President,"Roque ""Rocky"" De La Fuente and Darcy G. Richardson",REF,PCT 32,0,0,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente and Darcy G. Richardson",REF,PCT 33,0,0,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente and Darcy G. Richardson",REF,PCT 34,-,-,1,0.11
President and Vice President,"Roque ""Rocky"" De La Fuente and Darcy G. Richardson",REF,PCT 35,0,0,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente and Darcy G. Richardson",REF,PCT 36,-,-,1,0.15
President and Vice President,"Roque ""Rocky"" De La Fuente and Darcy G. Richardson",REF,PCT 37,-,-,2,0.09
President and Vice President,"Roque ""Rocky"" De La Fuente and Darcy G. Richardson",REF,PCT 38,0,0,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente and Darcy G. Richardson",REF,PCT 39,-,-,1,0.04
President and Vice President,"Roque ""Rocky"" De La Fuente and Darcy G. Richardson",REF,PCT 40,-,-,1,0.07
President and Vice President,"Roque ""Rocky"" De La Fuente and Darcy G. Richardson",REF,PCT 41,-,-,2,0.11
President and Vice President,"Roque ""Rocky"" De La Fuente and Darcy G. Richardson",REF,PCT 42,0,0,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente and Darcy G. Richardson",REF,PCT 43,-,-,1,0.07
President and Vice President,"Roque ""Rocky"" De La Fuente and Darcy G. Richardson",REF,PCT 44,-,-,1,0.12
President and Vice President,Gloria La Riva and Sunil Freeman,PSL,PCT 1,0,0,0,0.00
President and Vice President,Gloria La Riva and Sunil Freeman,PSL,PCT 2,0,0,0,0.00
President and Vice President,Gloria La Riva and Sunil Freeman,PSL,PCT 3,-,-,1,0.17
President and Vice President,Gloria La Riva and Sunil Freeman,PSL,PCT 4,-,-,3,0.12
President and Vice President,Gloria La Riva and Sunil Freeman,PSL,PCT 5,0,0,0,0.00
President and Vice President,Gloria La Riva and Sunil Freeman,PSL,PCT 6,0,0,0,0.00
President and Vice President,Gloria La Riva and Sunil Freeman,PSL,PCT 7,0,0,0,0.00
President and Vice President,Gloria La Riva and Sunil Freeman,PSL,PCT 8,0,0,0,0.00
President and Vice President,Gloria La Riva and Sunil Freeman,PSL,PCT 9,-,-,2,0.07
President and Vice President,Gloria La Riva and Sunil Freeman,PSL,PCT 10,-,-,2,0.05
President and Vice President,Gloria La Riva and Sunil Freeman,PSL,PCT 11,-,-,2,0.04
President and Vice President,Gloria La Riva and Sunil Freeman,PSL,PCT 12,-,-,1,0.02
President and Vice President,Gloria La Riva and Sunil Freeman,PSL,PCT 13,-,-,1,0.04
President and Vice President,Gloria La Riva and Sunil Freeman,PSL,PCT 14,-,-,1,0.03
President and Vice President,Gloria La Riva and Sunil Freeman,PSL,PCT 15,0,0,0,0.00
President and Vice President,Gloria La Riva and Sunil Freeman,PSL,PCT 16,0,0,0,0.00
President and Vice President,Gloria La Riva and Sunil Freeman,PSL,PCT 17,-,-,3,0.09
President and Vice President,Gloria La Riva and Sunil Freeman,PSL,PCT 18,0,0,0,0.00
President and Vice President,Gloria La Riva and Sunil Freeman,PSL,PCT 19,-,-,2,0.13
President and Vice President,Gloria La Riva and Sunil Freeman,PSL,PCT 20,0,0,0,0.00
President and Vice President,Gloria La Riva and Sunil Freeman,PSL,PCT 21,0,0,0,0.00
President and Vice President,Gloria La Riva and Sunil Freeman,PSL,PCT 22,0,0,0,0.00
President and Vice President,Gloria La Riva and Sunil Freeman,PSL,PCT 23,0,0,0,0.00
President and Vice President,Gloria La Riva and Sunil Freeman,PSL,PCT 24,0,0,0,0.00
President and Vice President,Gloria La Riva and Sunil Freeman,PSL,PCT 25,-,-,4,0.22
President and Vice President,Gloria La Riva and Sunil Freeman,PSL,PCT 26,-,-,2,0.09
President and Vice President,Gloria La Riva and Sunil Freeman,PSL,PCT 27,-,-,1,0.04
President and Vice President,Gloria La Riva and Sunil Freeman,PSL,PCT 28,-,-,3,0.19
President and Vice President,Gloria La Riva and Sunil Freeman,PSL,PCT 29,-,-,2,0.10
President and Vice President,Gloria La Riva and Sunil Freeman,PSL,PCT 30,0,0,0,0.00
President and Vice President,Gloria La Riva and Sunil Freeman,PSL,PCT 31,-,-,4,0.13
President and Vice President,Gloria La Riva and Sunil Freeman,PSL,PCT 32,-,-,1,0.09
President and Vice President,Gloria La Riva and Sunil Freeman,PSL,PCT 33,-,-,1,0.08
President and Vice President,Gloria La Riva and Sunil Freeman,PSL,PCT 34,-,-,1,0.11
President and Vice President,Gloria La Riva and Sunil Freeman,PSL,PCT 35,0,0,0,0.00
President and Vice President,Gloria La Riva and Sunil Freeman,PSL,PCT 36,-,-,1,0.15
President and Vice President,Gloria La Riva and Sunil Freeman,PSL,PCT 37,-,-,3,0.13
President and Vice President,Gloria La Riva and Sunil Freeman,PSL,PCT 38,0,0,0,0.00
President and Vice President,Gloria La Riva and Sunil Freeman,PSL,PCT 39,0,0,0,0.00
President and Vice President,Gloria La Riva and Sunil Freeman,PSL,PCT 40,-,-,2,0.13
President and Vice President,Gloria La Riva and Sunil Freeman,PSL,PCT 41,-,-,2,0.11
President and Vice President,Gloria La Riva and Sunil Freeman,PSL,PCT 42,0,0,0,0.00
President and Vice President,Gloria La Riva and Sunil Freeman,PSL,PCT 43,0,0,0,0.00
President and Vice President,Gloria La Riva and Sunil Freeman,PSL,PCT 44,0,0,0,0.00
President and Vice President,Howie Hawkins and Angela Nicole Walker,GRE,PCT 1,-,-,1,0.06
President and Vice President,Howie Hawkins and Angela Nicole Walker,GRE,PCT 2,-,-,1,0.10
President and Vice President,Howie Hawkins and Angela Nicole Walker,GRE,PCT 3,0,0,0,0.00
President and Vice President,Howie Hawkins and Angela Nicole Walker,GRE,PCT 4,-,-,3,0.12
President and Vice President,Howie Hawkins and Angela Nicole Walker,GRE,PCT 5,-,-,5,0.19
President and Vice President,Howie Hawkins and Angela Nicole Walker,GRE,PCT 6,-,-,2,0.06
President and Vice President,Howie Hawkins and Angela Nicole Walker,GRE,PCT 7,0,0,0,0.00
President and Vice President,Howie Hawkins and Angela Nicole Walker,GRE,PCT 8,-,-,5,0.17
President and Vice President,Howie Hawkins and Angela Nicole Walker,GRE,PCT 9,-,-,4,0.14
President and Vice President,Howie Hawkins and Angela Nicole Walker,GRE,PCT 10,-,-,9,0.23
President and Vice President,Howie Hawkins and Angela Nicole Walker,GRE,PCT 11,-,-,8,0.17
President and Vice President,Howie Hawkins and Angela Nicole Walker,GRE,PCT 12,-,-,6,0.14
President and Vice President,Howie Hawkins and Angela Nicole Walker,GRE,PCT 13,-,-,6,0.26
President and Vice President,Howie Hawkins and Angela Nicole Walker,GRE,PCT 14,-,-,3,0.09
President and Vice President,Howie Hawkins and Angela Nicole Walker,GRE,PCT 15,-,-,3,0.11
President and Vice President,Howie Hawkins and Angela Nicole Walker,GRE,PCT 16,-,-,1,0.07
President and Vice President,Howie Hawkins and Angela Nicole Walker,GRE,PCT 17,-,-,4,0.12
President and Vice President,Howie Hawkins and Angela Nicole Walker,GRE,PCT 18,-,-,4,0.20
President and Vice President,Howie Hawkins and Angela Nicole Walker,GRE,PCT 19,-,-,4,0.26
President and Vice President,Howie Hawkins and Angela Nicole Walker,GRE,PCT 20,-,-,2,0.14
President and Vice President,Howie Hawkins and Angela Nicole Walker,GRE,PCT 21,-,-,6,0.17
President and Vice President,Howie Hawkins and Angela Nicole Walker,GRE,PCT 22,-,-,1,0.03
President and Vice President,Howie Hawkins and Angela Nicole Walker,GRE,PCT 23,-,-,12,0.32
President and Vice President,Howie Hawkins and Angela Nicole Walker,GRE,PCT 24,-,-,1,0.08
President and Vice President,Howie Hawkins and Angela Nicole Walker,GRE,PCT 25,-,-,2,0.11
President and Vice President,Howie Hawkins and Angela Nicole Walker,GRE,PCT 26,-,-,4,0.18
President and Vice President,Howie Hawkins and Angela Nicole Walker,GRE,PCT 27,-,-,2,0.08
President and Vice President,Howie Hawkins and Angela Nicole Walker,GRE,PCT 28,-,-,3,0.19
President and Vice President,Howie Hawkins and Angela Nicole Walker,GRE,PCT 29,-,-,3,0.14
President and Vice President,Howie Hawkins and Angela Nicole Walker,GRE,PCT 30,-,-,2,0.21
President and Vice President,Howie Hawkins and Angela Nicole Walker,GRE,PCT 31,-,-,5,0.16
President and Vice President,Howie Hawkins and Angela Nicole Walker,GRE,PCT 32,-,-,1,0.09
President and Vice President,Howie Hawkins and Angela Nicole Walker,GRE,PCT 33,-,-,2,0.16
President and Vice President,Howie Hawkins and Angela Nicole Walker,GRE,PCT 34,-,-,2,0.22
President and Vice President,Howie Hawkins and Angela Nicole Walker,GRE,PCT 35,-,-,3,0.17
President and Vice President,Howie Hawkins and Angela Nicole Walker,GRE,PCT 36,-,-,2,0.31
President and Vice President,Howie Hawkins and Angela Nicole Walker,GRE,PCT 37,-,-,5,0.22
President and Vice President,Howie Hawkins and Angela Nicole Walker,GRE,PCT 38,-,-,2,0.16
President and Vice President,Howie Hawkins and Angela Nicole Walker,GRE,PCT 39,-,-,2,0.07
President and Vice President,Howie Hawkins and Angela Nicole Walker,GRE,PCT 40,-,-,2,0.13
President and Vice President,Howie Hawkins and Angela Nicole Walker,GRE,PCT 41,-,-,7,0.38
President and Vice President,Howie Hawkins and Angela Nicole Walker,GRE,PCT 42,-,-,1,0.09
President and Vice President,Howie Hawkins and Angela Nicole Walker,GRE,PCT 43,-,-,1,0.07
President and Vice President,Howie Hawkins and Angela Nicole Walker,GRE,PCT 44,0,0,0,0.00
President and Vice President,Don Blankenship and William Mohr,CPF,PCT 1,0,0,0,0.00
President and Vice President,Don Blankenship and William Mohr,CPF,PCT 2,-,-,1,0.10
President and Vice President,Don Blankenship and William Mohr,CPF,PCT 3,0,0,0,0.00
President and Vice President,Don Blankenship and William Mohr,CPF,PCT 4,-,-,1,0.04
President and Vice President,Don Blankenship and William Mohr,CPF,PCT 5,-,-,1,0.04
President and Vice President,Don Blankenship and William Mohr,CPF,PCT 6,-,-,3,0.09
President and Vice President,Don Blankenship and William Mohr,CPF,PCT 7,0,0,0,0.00
President and Vice President,Don Blankenship and William Mohr,CPF,PCT 8,-,-,1,0.03
President and Vice President,Don Blankenship and William Mohr,CPF,PCT 9,0,0,0,0.00
President and Vice President,Don Blankenship and William Mohr,CPF,PCT 10,0,0,0,0.00
President and Vice President,Don Blankenship and William Mohr,CPF,PCT 11,-,-,2,0.04
President and Vice President,Don Blankenship and William Mohr,CPF,PCT 12,-,-,3,0.07
President and Vice President,Don Blankenship and William Mohr,CPF,PCT 13,-,-,1,0.04
President and Vice President,Don Blankenship and William Mohr,CPF,PCT 14,-,-,1,0.03
President and Vice President,Don Blankenship and William Mohr,CPF,PCT 15,0,0,0,0.00
President and Vice President,Don Blankenship and William Mohr,CPF,PCT 16,0,0,0,0.00
President and Vice President,Don Blankenship and William Mohr,CPF,PCT 17,0,0,0,0.00
President and Vice President,Don Blankenship and William Mohr,CPF,PCT 18,-,-,2,0.10
President and Vice President,Don Blankenship and William Mohr,CPF,PCT 19,0,0,0,0.00
President and Vice President,Don Blankenship and William Mohr,CPF,PCT 20,-,-,1,0.07
President and Vice President,Don Blankenship and William Mohr,CPF,PCT 21,-,-,2,0.06
President and Vice President,Don Blankenship and William Mohr,CPF,PCT 22,-,-,4,0.12
