Precinct,Contest Name,Candidate Name,Votes,Voter Turnout
"001 Seminole Community Church","President and Vice President","Donald J. Trump / Michael R. Pence (REP)","374","18.76%"
"002 The Church at Heathrow DE","President and Vice President","Donald J. Trump / Michael R. Pence (REP)","568","17.19%"
"003 Crossings Community Church","President and Vice President","Donald J. Trump / Michael R. Pence (REP)","514","12.69%"
"004 Safeharbor Christian Churc","President and Vice President","Donald J. Trump / Michael R. Pence (REP)","293","13.18%"
"005 Westview Baptist Church","President and Vice President","Donald J. Trump / Michael R. Pence (REP)","454","13.80%"
"006 Westside Community Center","President and Vice President","Donald J. Trump / Michael R. Pence (REP)","141","12.25%"
"007 Markham Woods Presbyterian","President and Vice President","Donald J. Trump / Michael R. Pence (REP)","574","12.38%"
"008 Courtyard by Marriott","President and Vice President","Donald J. Trump / Michael R. Pence (REP)","247","13.30%"
"009 Holy Cross Lutheran Church","President and Vice President","Donald J. Trump / Michael R. Pence (REP)","231","9.65%"
"010 Lake Mary Events Center","President and Vice President","Donald J. Trump / Michael R. Pence (REP)","511","13.25%"
"011 Seminole County Health Dep","President and Vice President","Donald J. Trump / Michael R. Pence (REP)","286","10.96%"
"012 Markham Woods SDA Church D","President and Vice President","Donald J. Trump / Michael R. Pence (REP)","415","12.43%"
"013 Church of Jesus Christ of","President and Vice President","Donald J. Trump / Michael R. Pence (REP)","368","12.10%"
"014 Northwest Branch Library","President and Vice President","Donald J. Trump / Michael R. Pence (REP)","203","9.53%"
"015 Nativity Catholic Church","President and Vice President","Donald J. Trump / Michael R. Pence (REP)","199","14.40%"
"016 Lake Mary City Hall","President and Vice President","Donald J. Trump / Michael R. Pence (REP)","290","14.30%"
"017 Seminole County Co-op Exte","President and Vice President","Donald J. Trump / Michael R. Pence (REP)","199","13.13%"
"018 First Baptist Church Sweet","President and Vice President","Donald J. Trump / Michael R. Pence (REP)","271","10.24%"
"019 Longwood Community Buildin","President and Vice President","Donald J. Trump / Michael R. Pence (REP)","583","12.40%"
"020 First Baptist Church of Lo","President and Vice President","Donald J. Trump / Michael R. Pence (REP)","558","11.50%"
"021 West Branch Library DC","President and Vice President","Donald J. Trump / Michael R. Pence (REP)","244","7.67%"
"022 Wekiva Presbyterian Church","President and Vice President","Donald J. Trump / Michael R. Pence (REP)","353","10.20%"
"023 Neighborhood Alliance Chur","President and Vice President","Donald J. Trump / Michael R. Pence (REP)","178","17.58%"
"024 WaterStone Church","President and Vice President","Donald J. Trump / Michael R. Pence (REP)","528","12.26%"
"025 Wekiva Cove Clubhouse DC","President and Vice President","Donald J. Trump / Michael R. Pence (REP)","184","11.18%"
"026 First Baptist Ch. Sanlando","President and Vice President","Donald J. Trump / Michael R. Pence (REP)","154","16.07%"
