Contest,Candidate Issue,Party,Precinct Name,Provisional Votes,Mail Votes,Early Votes,Election Day Votes,Total Votes,% of Total Votes
President and Vice President,Donald J. Trump,REP,Sanderson 1A,0,220,707,377,1304,68.24
President and Vice President,Donald J. Trump,REP,South Macclenny 2A,0,422,1177,517,2116,79.58
President and Vice President,Donald J. Trump,REP,North Macclenny 3A,0,412,1372,602,2386,84.85
President and Vice President,Donald J. Trump,REP,Baxter 4A,-,-,-,-,173,94.54
President and Vice President,Donald J. Trump,REP,Taylor 4B,0,82,129,275,486,92.40
President and Vice President,Donald J. Trump,REP,Macedonia 4C,0,294,1017,371,1682,89.90
President and Vice President,Donald J. Trump,REP,Cuyler 4D,0,123,324,359,806,92.01
President and Vice President,Donald J. Trump,REP,Glen St. Mary 5A,0,480,1621,706,2807,91.34
President and Vice President,Donald J. Trump,REP,Olustee 6A,-,-,-,-,151,67.71
President and Vice President,Joseph R. Biden,DEM,Sanderson 1A,0,165,188,214,567,29.67
President and Vice President,Joseph R. Biden,DEM,South Macclenny 2A,0,170,191,147,508,19.10
President and Vice President,Joseph R. Biden,DEM,North Macclenny 3A,0,138,187,72,397,14.12
President and Vice President,Joseph R. Biden,DEM,Baxter 4A,-,-,-,-,8,4.37
President and Vice President,Joseph R. Biden,DEM,Taylor 4B,-,-,-,-,35,6.65
President and Vice President,Joseph R. Biden,DEM,Macedonia 4C,-,-,-,-,170,9.09
President and Vice President,Joseph R. Biden,DEM,Cuyler 4D,-,-,-,-,61,6.96
President and Vice President,Joseph R. Biden,DEM,Glen St. Mary 5A,0,114,70,37,221,7.19
President and Vice President,Joseph R. Biden,DEM,Olustee 6A,-,-,-,-,70,31.39
President and Vice President,Jo Jorgensen,LPF,Sanderson 1A,-,-,-,-,14,0.73
President and Vice President,Jo Jorgensen,LPF,South Macclenny 2A,-,-,-,-,15,0.56
President and Vice President,Jo Jorgensen,LPF,North Macclenny 3A,-,-,-,-,19,0.68
President and Vice President,Jo Jorgensen,LPF,Baxter 4A,-,-,-,-,1,0.55
President and Vice President,Jo Jorgensen,LPF,Taylor 4B,-,-,-,-,5,0.95
President and Vice President,Jo Jorgensen,LPF,Macedonia 4C,-,-,-,-,10,0.53
President and Vice President,Jo Jorgensen,LPF,Cuyler 4D,-,-,-,-,5,0.57
President and Vice President,Jo Jorgensen,LPF,Glen St. Mary 5A,-,-,-,-,23,0.75
President and Vice President,Jo Jorgensen,LPF,Olustee 6A,-,-,-,-,1,0.45
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Sanderson 1A,0,0,0,0,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,South Macclenny 2A,-,-,-,-,1,0.04
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,North Macclenny 3A,-,-,-,-,1,0.04
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Baxter 4A,-,-,-,-,1,0.55
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Taylor 4B,0,0,0,0,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Macedonia 4C,0,0,0,0,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Cuyler 4D,0,0,0,0,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Glen St. Mary 5A,-,-,-,-,1,0.03
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Olustee 6A,0,0,0,0,0,0.00
President and Vice President,Gloria La Riva,PSL,Sanderson 1A,-,-,-,-,1,0.05
President and Vice President,Gloria La Riva,PSL,South Macclenny 2A,-,-,-,-,2,0.08
President and Vice President,Gloria La Riva,PSL,North Macclenny 3A,0,0,0,0,0,0.00
President and Vice President,Gloria La Riva,PSL,Baxter 4A,0,0,0,0,0,0.00
President and Vice President,Gloria La Riva,PSL,Taylor 4B,0,0,0,0,0,0.00
President and Vice President,Gloria La Riva,PSL,Macedonia 4C,0,0,0,0,0,0.00
President and Vice President,Gloria La Riva,PSL,Cuyler 4D,0,0,0,0,0,0.00
President and Vice President,Gloria La Riva,PSL,Glen St. Mary 5A,0,0,0,0,0,0.00
President and Vice President,Gloria La Riva,PSL,Olustee 6A,0,0,0,0,0,0.00
President and Vice President,Howie Hawkins,GRE,Sanderson 1A,-,-,-,-,1,0.05
President and Vice President,Howie Hawkins,GRE,South Macclenny 2A,-,-,-,-,4,0.15
President and Vice President,Howie Hawkins,GRE,North Macclenny 3A,0,0,0,0,0,0.00
President and Vice President,Howie Hawkins,GRE,Baxter 4A,0,0,0,0,0,0.00
President and Vice President,Howie Hawkins,GRE,Taylor 4B,0,0,0,0,0,0.00
President and Vice President,Howie Hawkins,GRE,Macedonia 4C,0,0,0,0,0,0.00
President and Vice President,Howie Hawkins,GRE,Cuyler 4D,0,0,0,0,0,0.00
President and Vice President,Howie Hawkins,GRE,Glen St. Mary 5A,-,-,-,-,5,0.16
President and Vice President,Howie Hawkins,GRE,Olustee 6A,0,0,0,0,0,0.00
President and Vice President,Don Blankenship,CPF,Sanderson 1A,0,0,0,0,0,0.00
President and Vice President,Don Blankenship,CPF,South Macclenny 2A,-,-,-,-,1,0.04
President and Vice President,Don Blankenship,CPF,North Macclenny 3A,0,0,0,0,0,0.00
President and Vice President,Don Blankenship,CPF,Baxter 4A,0,0,0,0,0,0.00
President and Vice President,Don Blankenship,CPF,Taylor 4B,0,0,0,0,0,0.00
President and Vice President,Don Blankenship,CPF,Macedonia 4C,0,0,0,0,0,0.00
President and Vice President,Don Blankenship,CPF,Cuyler 4D,0,0,0,0,0,0.00
President and Vice President,Don Blankenship,CPF,Glen St. Mary 5A,0,0,0,0,0,0.00
President and Vice President,Don Blankenship,CPF,Olustee 6A,0,0,0,0,0,0.00
President and Vice President,Write-in,,Sanderson 1A,-,-,-,-,5,0.26
President and Vice President,Write-in,,South Macclenny 2A,-,-,-,-,2,0.08
President and Vice President,Write-in,,North Macclenny 3A,-,-,-,-,3,0.11
President and Vice President,Write-in,,Baxter 4A,0,0,0,0,0,0.00
President and Vice President,Write-in,,Taylor 4B,0,0,0,0,0,0.00
President and Vice President,Write-in,,Macedonia 4C,-,-,-,-,3,0.16
President and Vice President,Write-in,,Cuyler 4D,-,-,-,-,2,0.23
President and Vice President,Write-in,,Glen St. Mary 5A,-,-,-,-,7,0.23
President and Vice President,Write-in,,Olustee 6A,-,-,-,-,1,0.45
President and Vice President,OVER VOTES,STATS,Sanderson 1A,-,-,-,-,8,0.42
President and Vice President,OVER VOTES,STATS,South Macclenny 2A,-,-,-,-,4,0.15
President and Vice President,OVER VOTES,STATS,North Macclenny 3A,0,0,0,0,0,0.00
President and Vice President,OVER VOTES,STATS,Baxter 4A,0,0,0,0,0,0.00
President and Vice President,OVER VOTES,STATS,Taylor 4B,0,0,0,0,0,0.00
President and Vice President,OVER VOTES,STATS,Macedonia 4C,-,-,-,-,2,0.11
President and Vice President,OVER VOTES,STATS,Cuyler 4D,-,-,-,-,1,0.11
President and Vice President,OVER VOTES,STATS,Glen St. Mary 5A,-,-,-,-,2,0.07
President and Vice President,OVER VOTES,STATS,Olustee 6A,0,0,0,0,0,0.00
President and Vice President,UNDER VOTES,STATS,Sanderson 1A,-,-,-,-,11,0.58
President and Vice President,UNDER VOTES,STATS,South Macclenny 2A,-,-,-,-,6,0.23
President and Vice President,UNDER VOTES,STATS,North Macclenny 3A,-,-,-,-,6,0.21
President and Vice President,UNDER VOTES,STATS,Baxter 4A,0,0,0,0,0,0.00
President and Vice President,UNDER VOTES,STATS,Taylor 4B,0,0,0,0,0,0.00
President and Vice President,UNDER VOTES,STATS,Macedonia 4C,-,-,-,-,4,0.21
President and Vice President,UNDER VOTES,STATS,Cuyler 4D,-,-,-,-,1,0.11
President and Vice President,UNDER VOTES,STATS,Glen St. Mary 5A,-,-,-,-,7,0.23
President and Vice President,UNDER VOTES,STATS,Olustee 6A,0,0,0,0,0,0.00
Representative in Congress District 5,Gary Adler,REP,Sanderson 1A,0,200,672,342,1214,63.53
Representative in Congress District 5,Gary Adler,REP,South Macclenny 2A,0,391,1131,486,2008,75.52
Representative in Congress District 5,Gary Adler,REP,North Macclenny 3A,0,374,1317,559,2250,80.01
Representative in Congress District 5,Gary Adler,REP,Baxter 4A,-,-,-,-,161,87.98
Representative in Congress District 5,Gary Adler,REP,Taylor 4B,0,80,126,265,471,89.54
Representative in Congress District 5,Gary Adler,REP,Macedonia 4C,0,288,986,345,1619,86.53
Representative in Congress District 5,Gary Adler,REP,Cuyler 4D,0,115,318,342,775,88.47
Representative in Congress District 5,Gary Adler,REP,Glen St. Mary 5A,0,458,1547,678,2683,87.31
Representative in Congress District 5,Gary Adler,REP,Olustee 6A,-,-,-,-,148,66.37
Representative in Congress District 5,Al Lawson,DEM,Sanderson 1A,0,198,219,241,658,34.43
Representative in Congress District 5,Al Lawson,DEM,South Macclenny 2A,0,195,217,171,583,21.93
Representative in Congress District 5,Al Lawson,DEM,North Macclenny 3A,0,169,217,98,484,17.21
Representative in Congress District 5,Al Lawson,DEM,Baxter 4A,-,-,-,-,16,8.74
Representative in Congress District 5,Al Lawson,DEM,Taylor 4B,-,-,-,-,50,9.51
Representative in Congress District 5,Al Lawson,DEM,Macedonia 4C,0,87,82,38,207,11.06
Representative in Congress District 5,Al Lawson,DEM,Cuyler 4D,-,-,-,-,83,9.47
Representative in Congress District 5,Al Lawson,DEM,Glen St. Mary 5A,0,130,130,65,325,10.58
Representative in Congress District 5,Al Lawson,DEM,Olustee 6A,-,-,-,-,70,31.39
Representative in Congress District 5,OVER VOTES,STATS,Sanderson 1A,-,-,-,-,2,0.10
Representative in Congress District 5,OVER VOTES,STATS,South Macclenny 2A,0,0,0,0,0,0.00
Representative in Congress District 5,OVER VOTES,STATS,North Macclenny 3A,0,0,0,0,0,0.00
Representative in Congress District 5,OVER VOTES,STATS,Baxter 4A,0,0,0,0,0,0.00
Representative in Congress District 5,OVER VOTES,STATS,Taylor 4B,0,0,0,0,0,0.00
