Contest,Candidate Issue,Party,Precinct Name,Mail Votes,Early Votes,Election Day Votes,Total Votes,% of Total Votes
President and Vice President,Donald J. Trump,REP,PCT 101,467,1982,373,2822,62.95
President and Vice President,Donald J. Trump,REP,PCT 102,361,1250,253,1864,64.61
President and Vice President,Donald J. Trump,REP,PCT 103,502,976,241,1719,71.54
President and Vice President,Donald J. Trump,REP,PCT 104,461,1549,363,2373,67.36
President and Vice President,Donald J. Trump,REP,PCT 105,745,2407,495,3647,57.48
President and Vice President,Donald J. Trump,REP,PCT 106,628,2098,756,3482,74.13
President and Vice President,Donald J. Trump,REP,PCT 107,805,2913,941,4659,66.03
President and Vice President,Donald J. Trump,REP,PCT 108,273,894,154,1321,64.44
President and Vice President,Donald J. Trump,REP,PCT 109,497,1671,429,2597,69.57
President and Vice President,Donald J. Trump,REP,PCT 110,128,323,142,593,80.46
President and Vice President,Donald J. Trump,REP,PCT 111,339,1146,255,1740,62.43
President and Vice President,Donald J. Trump,REP,PCT 201,550,2064,442,3056,64.42
President and Vice President,Donald J. Trump,REP,PCT 202,351,1322,490,2163,66.35
President and Vice President,Donald J. Trump,REP,PCT 203,706,1829,792,3327,65.52
President and Vice President,Donald J. Trump,REP,PCT 204,466,1390,568,2424,74.40
President and Vice President,Donald J. Trump,REP,PCT 205,798,2320,739,3857,66.29
President and Vice President,Donald J. Trump,REP,PCT 206,158,366,260,784,71.60
President and Vice President,Donald J. Trump,REP,PCT 207,216,535,208,959,32.72
President and Vice President,Donald J. Trump,REP,PCT 208,131,528,302,961,72.58
President and Vice President,Donald J. Trump,REP,PCT 209,275,1137,436,1848,67.59
President and Vice President,Donald J. Trump,REP,PCT 301,251,570,182,1003,68.70
President and Vice President,Donald J. Trump,REP,PCT 302,786,2143,843,3772,65.59
President and Vice President,Donald J. Trump,REP,PCT 303,170,435,297,902,59.07
President and Vice President,Donald J. Trump,REP,PCT 304,501,1336,532,2369,60.11
President and Vice President,Donald J. Trump,REP,PCT 305,767,1836,598,3201,60.94
President and Vice President,Donald J. Trump,REP,PCT 306,400,771,264,1435,66.25
President and Vice President,Donald J. Trump,REP,PCT 307,578,1916,404,2898,64.66
President and Vice President,Donald J. Trump,REP,PCT 308,355,865,170,1390,60.36
President and Vice President,Donald J. Trump,REP,PCT 309,785,1689,460,2934,60.15
President and Vice President,Donald J. Trump,REP,PCT 401,714,2058,466,3238,61.41
President and Vice President,Donald J. Trump,REP,PCT 402,1031,2592,465,4088,63.40
President and Vice President,Donald J. Trump,REP,PCT 403,941,2189,428,3558,67.81
President and Vice President,Donald J. Trump,REP,PCT 404,480,1085,279,1844,65.83
President and Vice President,Donald J. Trump,REP,PCT 405,674,1981,398,3053,63.14
President and Vice President,Donald J. Trump,REP,PCT 406,788,2181,848,3817,60.75
President and Vice President,Donald J. Trump,REP,PCT 407,140,307,75,522,64.44
President and Vice President,Donald J. Trump,REP,PCT 408,960,2589,991,4540,65.64
President and Vice President,Donald J. Trump,REP,PCT 409,39,107,35,181,67.79
President and Vice President,Donald J. Trump,REP,PCT 410,1035,1890,344,3269,60.44
President and Vice President,Donald J. Trump,REP,PCT 501,718,1440,333,2491,64.53
President and Vice President,Donald J. Trump,REP,PCT 502,830,1965,750,3545,60.04
President and Vice President,Donald J. Trump,REP,PCT 503,254,454,165,873,52.72
President and Vice President,Donald J. Trump,REP,PCT 504,565,952,540,2057,61.04
President and Vice President,Donald J. Trump,REP,PCT 505,405,831,345,1581,51.84
President and Vice President,Donald J. Trump,REP,PCT 506,180,274,124,578,42.10
President and Vice President,Donald J. Trump,REP,PCT 507,102,230,159,491,33.45
President and Vice President,Donald J. Trump,REP,PCT 508,558,1260,529,2347,53.49
President and Vice President,Donald J. Trump,REP,PCT 509,613,1797,363,2773,55.60
President and Vice President,Joseph R. Biden,DEM,PCT 101,689,796,118,1603,35.76
President and Vice President,Joseph R. Biden,DEM,PCT 102,459,457,65,981,34.00
President and Vice President,Joseph R. Biden,DEM,PCT 103,394,211,45,650,27.05
President and Vice President,Joseph R. Biden,DEM,PCT 104,530,503,91,1124,31.90
President and Vice President,Joseph R. Biden,DEM,PCT 105,1275,1145,179,2599,40.96
President and Vice President,Joseph R. Biden,DEM,PCT 106,540,512,110,1162,24.74
President and Vice President,Joseph R. Biden,DEM,PCT 107,1028,1014,237,2279,32.30
President and Vice President,Joseph R. Biden,DEM,PCT 108,354,315,43,712,34.73
President and Vice President,Joseph R. Biden,DEM,PCT 109,493,503,94,1090,29.20
President and Vice President,Joseph R. Biden,DEM,PCT 110,-,-,-,140,19.00
President and Vice President,Joseph R. Biden,DEM,PCT 111,507,418,86,1011,36.28
President and Vice President,Joseph R. Biden,DEM,PCT 201,680,842,112,1634,34.44
President and Vice President,Joseph R. Biden,DEM,PCT 202,419,505,122,1046,32.09
President and Vice President,Joseph R. Biden,DEM,PCT 203,765,651,270,1686,33.20
President and Vice President,Joseph R. Biden,DEM,PCT 204,415,310,71,796,24.43
President and Vice President,Joseph R. Biden,DEM,PCT 205,888,777,198,1863,32.02
President and Vice President,Joseph R. Biden,DEM,PCT 206,145,113,40,298,27.21
President and Vice President,Joseph R. Biden,DEM,PCT 207,701,832,388,1921,65.54
President and Vice President,Joseph R. Biden,DEM,PCT 208,144,142,72,358,27.04
President and Vice President,Joseph R. Biden,DEM,PCT 209,395,351,109,855,31.27
President and Vice President,Joseph R. Biden,DEM,PCT 301,234,161,43,438,30.00
President and Vice President,Joseph R. Biden,DEM,PCT 302,995,698,202,1895,32.95
President and Vice President,Joseph R. Biden,DEM,PCT 303,299,225,81,605,39.62
President and Vice President,Joseph R. Biden,DEM,PCT 304,783,553,169,1505,38.19
President and Vice President,Joseph R. Biden,DEM,PCT 305,1120,683,192,1995,37.98
President and Vice President,Joseph R. Biden,DEM,PCT 306,431,209,66,706,32.59
President and Vice President,Joseph R. Biden,DEM,PCT 307,836,611,87,1534,34.23
President and Vice President,Joseph R. Biden,DEM,PCT 308,482,360,55,897,38.95
President and Vice President,Joseph R. Biden,DEM,PCT 309,1087,686,135,1908,39.11
President and Vice President,Joseph R. Biden,DEM,PCT 401,886,877,180,1943,36.85
President and Vice President,Joseph R. Biden,DEM,PCT 402,1150,998,137,2285,35.44
President and Vice President,Joseph R. Biden,DEM,PCT 403,840,712,89,1641,31.28
President and Vice President,Joseph R. Biden,DEM,PCT 404,475,383,79,937,33.45
President and Vice President,Joseph R. Biden,DEM,PCT 405,856,741,118,1715,35.47
President and Vice President,Joseph R. Biden,DEM,PCT 406,1214,934,236,2384,37.94
President and Vice President,Joseph R. Biden,DEM,PCT 407,-,-,-,278,34.32
President and Vice President,Joseph R. Biden,DEM,PCT 408,1209,869,231,2309,33.39
President and Vice President,Joseph R. Biden,DEM,PCT 409,-,-,-,84,31.46
President and Vice President,Joseph R. Biden,DEM,PCT 410,1450,573,69,2092,38.68
President and Vice President,Joseph R. Biden,DEM,PCT 501,714,524,78,1316,34.09
President and Vice President,Joseph R. Biden,DEM,PCT 502,1221,790,232,2243,37.99
President and Vice President,Joseph R. Biden,DEM,PCT 503,440,244,81,765,46.20
President and Vice President,Joseph R. Biden,DEM,PCT 504,743,394,140,1277,37.89
President and Vice President,Joseph R. Biden,DEM,PCT 505,731,512,182,1425,46.72
President and Vice President,Joseph R. Biden,DEM,PCT 506,430,229,115,774,56.37
President and Vice President,Joseph R. Biden,DEM,PCT 507,460,329,158,947,64.51
President and Vice President,Joseph R. Biden,DEM,PCT 508,995,807,191,1993,45.42
President and Vice President,Joseph R. Biden,DEM,PCT 509,1009,1027,115,2151,43.13
President and Vice President,Jo Jorgensen,LPF,PCT 101,-,-,-,42,0.94
President and Vice President,Jo Jorgensen,LPF,PCT 102,-,-,-,24,0.83
President and Vice President,Jo Jorgensen,LPF,PCT 103,-,-,-,23,0.96
President and Vice President,Jo Jorgensen,LPF,PCT 104,-,-,-,14,0.40
President and Vice President,Jo Jorgensen,LPF,PCT 105,-,-,-,71,1.12
President and Vice President,Jo Jorgensen,LPF,PCT 106,-,-,-,35,0.75
President and Vice President,Jo Jorgensen,LPF,PCT 107,-,-,-,78,1.11
